icd_code	label	definition	synonym	grouped_synonym
ICD10CM:Q32.0	Congenital tracheomalacia		Congenital tracheomalacia	Congenital tracheomalacia
ICD10CM:H91.93	Unspecified hearing loss, bilateral		Unspecified hearing loss, bilateral	Unspecified hearing loss, bilateral
ICD10CM:J05.0	Acute obstructive laryngitis [croup]		Acute obstructive laryngitis [croup]	Acute obstructive laryngitis [croup], Obstructive laryngitis (acute) NOS, Obstructive laryngotracheitis NOS, acute obstructive laryngitis
ICD10CM:Z48.89	Encounter for other specified surgical aftercare		Encounter for other specified surgical aftercare	Encounter for other specified surgical aftercare
ICD10CM:M25.552	Pain in left hip		Pain in left hip	Pain in left hip
ICD10CM:D50.0	Iron deficiency anemia secondary to blood loss (chronic)		Iron deficiency anemia secondary to blood loss (chronic)	Iron deficiency anemia secondary to blood loss (chronic), Posthemorrhagic anemia (chronic), iron deficiency anemia secondary to blood loss, posthemorrhagic anemia
ICD10CM:S62.513A	Displaced fracture of proximal phalanx of unspecified thumb, initial encounter for closed fracture		Displaced fracture of proximal phalanx of unspecified thumb, initial encounter for closed fracture	Displaced fracture of proximal phalanx of unspecified thumb, initial encounter for closed fracture
ICD10CM:M22.00	Recurrent dislocation of patella, unspecified knee		Recurrent dislocation of patella, unspecified knee	Recurrent dislocation of patella, unspecified knee
ICD10CM:H61.21	Impacted cerumen, right ear		Impacted cerumen, right ear	Impacted cerumen, right ear
ICD10CM:R22.1	Localized swelling, mass and lump, neck		Localized swelling, mass and lump, neck	Localized swelling, mass and lump, neck
ICD10CM:Z79.899	Other long term (current) drug therapy		Other long term (current) drug therapy	Other long term (current) drug therapy
ICD10CM:D84.9	Immunodeficiency, unspecified		Immunocompromised NOS	Immunocompromised NOS, Immunodeficiency, unspecified, Immunodeficient NOS, Immunosuppressed NOS
ICD10CM:N83.209	Unspecified ovarian cyst, unspecified side		Ovarian cyst, NOS	Ovarian cyst, NOS, Unspecified ovarian cyst, unspecified side
ICD10CM:N31.9	Neuromuscular dysfunction of bladder, unspecified		Neurogenic bladder dysfunction NOS	Neurogenic bladder dysfunction NOS, Neuromuscular dysfunction of bladder, unspecified
ICD10CM:L30.1	Dyshidrosis [pompholyx]		Dyshidrosis [pompholyx]	Dyshidrosis [pompholyx], dyshidrosis
ICD10CM:M93.90	Osteochondropathy, unspecified of unspecified site		Osteochondropathy, unspecified of unspecified site	Osteochondropathy, unspecified of unspecified site
ICD10CM:D72.829	Elevated white blood cell count, unspecified		Elevated leukocytes, unspecified	Elevated leukocytes, unspecified, Elevated white blood cell count, unspecified, Leukocytosis, unspecified
ICD10CM:H66.13	Chronic tubotympanic suppurative otitis media, bilateral		Chronic tubotympanic suppurative otitis media, bilateral	Chronic tubotympanic suppurative otitis media, bilateral
ICD10CM:I48.91	Unspecified atrial fibrillation		Unspecified atrial fibrillation	Unspecified atrial fibrillation
ICD10CM:Z86.69	Personal history of other diseases of the nervous system and sense organs		Personal history of other diseases of the nervous system and sense organs	Personal history of other diseases of the nervous system and sense organs
ICD10CM:J96.11	Chronic respiratory failure with hypoxia		Chronic respiratory failure with hypoxia	Chronic respiratory failure with hypoxia
ICD10CM:Z47.89	Encounter for other orthopedic aftercare		Encounter for other orthopedic aftercare	Encounter for other orthopedic aftercare
ICD10CM:I80.01	Phlebitis and thrombophlebitis of superficial vessels of right lower extremity		Phlebitis and thrombophlebitis of superficial vessels of right lower extremity	Phlebitis and thrombophlebitis of superficial vessels of right lower extremity
ICD10CM:Z13.0	Encounter for screening for diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism		Encounter for screening for diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism	Encounter for screening for diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
ICD10CM:Z79.620				
ICD10CM:L02.91	Cutaneous abscess, unspecified		Cutaneous abscess, unspecified	Cutaneous abscess, unspecified
ICD10CM:R32	Unspecified urinary incontinence		Enuresis NOS	Enuresis NOS, Unspecified urinary incontinence
ICD10CM:M16.12	Unilateral primary osteoarthritis, left hip		Unilateral primary osteoarthritis, left hip	Unilateral primary osteoarthritis, left hip
ICD10CM:N92.0	Excessive and frequent menstruation with regular cycle		Excessive and frequent menstruation with regular cycle	Excessive and frequent menstruation with regular cycle, Heavy periods NOS, Menorrhagia NOS, Polymenorrhea
ICD10CM:F81.9	Developmental disorder of scholastic skills, unspecified		Developmental disorder of scholastic skills, unspecified	Developmental disorder of scholastic skills, unspecified, Knowledge acquisition disability NOS, Learning disability NOS, Learning disorder NOS
ICD10CM:R79.89	Other specified abnormal findings of blood chemistry		Other specified abnormal findings of blood chemistry	Other specified abnormal findings of blood chemistry
ICD10CM:L02.211	Cutaneous abscess of abdominal wall		Cutaneous abscess of abdominal wall	Cutaneous abscess of abdominal wall
ICD10CM:R50.9	Fever, unspecified		Fever NOS	Fever NOS, Fever of unknown origin [FUO], Fever with chills, Fever with rigors, Fever, unspecified, Hyperpyrexia NOS, Persistent fever, Pyrexia NOS, fever of unknown origin
ICD10CM:Z68.34	Body mass index [BMI] 34.0-34.9, adult		Body mass index [BMI] 34.0-34.9, adult	Body mass index [BMI] 34.0-34.9, adult
ICD10CM:S42.461D	Displaced fracture of medial condyle of right humerus, subsequent encounter for fracture with routine healing		Displaced fracture of medial condyle of right humerus, subsequent encounter for fracture with routine healing	Displaced fracture of medial condyle of right humerus, subsequent encounter for fracture with routine healing
ICD10CM:L08.9	Local infection of the skin and subcutaneous tissue, unspecified		Local infection of the skin and subcutaneous tissue, unspecified	Local infection of the skin and subcutaneous tissue, unspecified
ICD10CM:Z12.4	Encounter for screening for malignant neoplasm of cervix		Encounter for screening for malignant neoplasm of cervix	Encounter for screening for malignant neoplasm of cervix, Encounter for screening pap smear for malignant neoplasm of cervix
ICD10CM:Z13.1	Encounter for screening for diabetes mellitus		Encounter for screening for diabetes mellitus	Encounter for screening for diabetes mellitus
ICD10CM:S83.006A	Unspecified dislocation of unspecified patella, initial encounter		Unspecified dislocation of unspecified patella, initial encounter	Unspecified dislocation of unspecified patella, initial encounter
ICD10CM:H52.03	Hypermetropia, bilateral		Hypermetropia, bilateral	Hypermetropia, bilateral
ICD10CM:D18.01	Hemangioma of skin and subcutaneous tissue		Hemangioma of skin and subcutaneous tissue	Hemangioma of skin and subcutaneous tissue
ICD10CM:R15.9	Full incontinence of feces		Fecal incontinence NOS	Fecal incontinence NOS, Full incontinence of feces
ICD10CM:M25.461	Effusion, right knee		Effusion, right knee	Effusion, right knee
ICD10CM:Q65.89	Other specified congenital deformities of hip		Anteversion of femoral neck	Anteversion of femoral neck, Congenital acetabular dysplasia, Other specified congenital deformities of hip
ICD10CM:Z71.3	Dietary counseling and surveillance		Dietary counseling and surveillance	Dietary counseling and surveillance
ICD10CM:R26.9	Unspecified abnormalities of gait and mobility		Unspecified abnormalities of gait and mobility	Unspecified abnormalities of gait and mobility
ICD10CM:M50.91	Cervical disc disorder, unspecified, high cervical region		C2-C3 cervical disc disorder, unspecified	C2-C3 cervical disc disorder, unspecified, C3-C4 cervical disc disorder, unspecified, Cervical disc disorder, unspecified, high cervical region
ICD10CM:Z51.81	Encounter for therapeutic drug level monitoring		Encounter for therapeutic drug level monitoring	Encounter for therapeutic drug level monitoring
ICD10CM:I12.9	Hypertensive chronic kidney disease with stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease		Hypertensive chronic kidney disease NOS	Hypertensive chronic kidney disease NOS, Hypertensive chronic kidney disease with stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease, Hypertensive renal disease NOS
ICD10CM:R22.40	Localized swelling, mass and lump, unspecified lower limb		Localized swelling, mass and lump, unspecified lower limb	Localized swelling, mass and lump, unspecified lower limb
ICD10CM:M19.90	Unspecified osteoarthritis, unspecified site		Arthritis NOS	Arthritis NOS, Arthrosis NOS, Osteoarthritis NOS, Unspecified osteoarthritis, unspecified site
ICD10CM:Z91.19	Patient's noncompliance with other medical treatment and regimen		Nonadherence to medical treatment	Nonadherence to medical treatment, Patient's noncompliance with other medical treatment and regimen
ICD10CM:M79.601	Pain in right arm		Pain in right arm	Pain in right arm, Pain in right upper limb NOS
ICD10CM:Z87.440	Personal history of urinary (tract) infections		Personal history of urinary (tract) infections	Personal history of urinary (tract) infections
ICD10CM:H66.009	Acute suppurative otitis media without spontaneous rupture of ear drum, unspecified ear		Acute suppurative otitis media without spontaneous rupture of ear drum, unspecified ear	Acute suppurative otitis media without spontaneous rupture of ear drum, unspecified ear
ICD10CM:R29.3	Abnormal posture		Abnormal posture	Abnormal posture
ICD10CM:M79.89	Other specified soft tissue disorders		Other specified soft tissue disorders	Other specified soft tissue disorders, Polyalgia
ICD10CM:Z68.44	Body mass index [BMI] 60.0-69.9, adult		Body mass index [BMI] 60.0-69.9, adult	Body mass index [BMI] 60.0-69.9, adult
ICD10CM:L84	Corns and callosities		Callus	Callus, Clavus, Corns and callosities
ICD10CM:T84.7XXD	Infection and inflammatory reaction due to other internal orthopedic prosthetic devices, implants and grafts, subsequent encounter		Infection and inflammatory reaction due to other internal orthopedic prosthetic devices, implants and grafts, subsequent encounter	Infection and inflammatory reaction due to other internal orthopedic prosthetic devices, implants and grafts, subsequent encounter
ICD10CM:H90.2	Conductive hearing loss, unspecified		Conductive deafness NOS	Conductive deafness NOS, Conductive hearing loss, unspecified
ICD10CM:N13.30	Unspecified hydronephrosis		Unspecified hydronephrosis	Unspecified hydronephrosis
ICD10CM:M08.80	Other juvenile arthritis, unspecified site		Other juvenile arthritis, unspecified site	Other juvenile arthritis, unspecified site
ICD10CM:Z20.828	Contact with and (suspected) exposure to other viral communicable diseases		Contact with and (suspected) exposure to other viral communicable diseases	Contact with and (suspected) exposure to other viral communicable diseases
ICD10CM:F71	Moderate intellectual disabilities		IQ level 35-40 to 50-55	IQ level 35-40 to 50-55, Moderate intellectual disabilities, Moderate mental subnormality
ICD10CM:R19.7	Diarrhea, unspecified		Diarrhea NOS	Diarrhea NOS, Diarrhea, unspecified
ICD10CM:Z13.29	Encounter for screening for other suspected endocrine disorder		Encounter for screening for other suspected endocrine disorder	Encounter for screening for other suspected endocrine disorder
ICD10CM:Z01.818	Encounter for other preprocedural examination		Encounter for examinations prior to antineoplastic chemotherapy	Encounter for examinations prior to antineoplastic chemotherapy, Encounter for other preprocedural examination, Encounter for preprocedural examination NOS
ICD10CM:H66.002	Acute suppurative otitis media without spontaneous rupture of ear drum, left ear		Acute suppurative otitis media without spontaneous rupture of ear drum, left ear	Acute suppurative otitis media without spontaneous rupture of ear drum, left ear
ICD10CM:Z11.9	Encounter for screening for infectious and parasitic diseases, unspecified		Encounter for screening for infectious and parasitic diseases, unspecified	Encounter for screening for infectious and parasitic diseases, unspecified
ICD10CM:M25.551	Pain in right hip		Pain in right hip	Pain in right hip
ICD10CM:Z12.31	Encounter for screening mammogram for malignant neoplasm of breast		Encounter for screening mammogram for malignant neoplasm of breast	Encounter for screening mammogram for malignant neoplasm of breast
ICD10CM:Z01.10	Encounter for examination of ears and hearing without abnormal findings		Encounter for examination of ears and hearing NOS	Encounter for examination of ears and hearing NOS, Encounter for examination of ears and hearing without abnormal findings
ICD10CM:Z68.35	Body mass index [BMI] 35.0-35.9, adult		Body mass index [BMI] 35.0-35.9, adult	Body mass index [BMI] 35.0-35.9, adult
ICD10CM:R10.30	Lower abdominal pain, unspecified		Lower abdominal pain, unspecified	Lower abdominal pain, unspecified
ICD10CM:M08.00	Unspecified juvenile rheumatoid arthritis of unspecified site		Unspecified juvenile rheumatoid arthritis of unspecified site	Unspecified juvenile rheumatoid arthritis of unspecified site
ICD10CM:F06.4	Anxiety disorder due to known physiological condition		Anxiety disorder due to known physiological condition	Anxiety disorder due to known physiological condition
ICD10CM:F80.0	Phonological disorder		Dyslalia	Dyslalia, Functional speech articulation disorder, Lalling, Lisping, Phonological developmental disorder, Phonological disorder, Speech articulation developmental disorder, Speech-sound disorder
ICD10CM:L27.0	Generalized skin eruption due to drugs and medicaments taken internally		Generalized skin eruption due to drugs and medicaments taken internally	Generalized skin eruption due to drugs and medicaments taken internally
ICD10CM:G40.409	Other generalized epilepsy and epileptic syndromes, not intractable, without status epilepticus		Other generalized epilepsy and epileptic syndromes, not intractable, without status epilepticus	Other generalized epilepsy and epileptic syndromes, not intractable, without status epilepticus
ICD10CM:Z83.3	Family history of diabetes mellitus		Conditions classifiable to E08-E13	Conditions classifiable to E08-E13, Family history of diabetes mellitus
ICD10CM:J45.40	Moderate persistent asthma, uncomplicated		Moderate persistent asthma NOS	Moderate persistent asthma NOS, Moderate persistent asthma, uncomplicated
ICD10CM:Y99.9	Unspecified external cause status		Unspecified external cause status	Unspecified external cause status
ICD10CM:M20.62	Acquired deformities of toe(s), unspecified, left foot		Acquired deformities of toe(s), unspecified, left foot	Acquired deformities of toe(s), unspecified, left foot
ICD10CM:Z86.018	Personal history of other benign neoplasm		Personal history of other benign neoplasm	Personal history of other benign neoplasm
ICD10CM:S22.081A	Stable burst fracture of T11-T12 vertebra, initial encounter for closed fracture		Stable burst fracture of T11-T12 vertebra, initial encounter for closed fracture	Stable burst fracture of T11-T12 vertebra, initial encounter for closed fracture
ICD10CM:R22.41	Localized swelling, mass and lump, right lower limb		Localized swelling, mass and lump, right lower limb	Localized swelling, mass and lump, right lower limb
ICD10CM:H60.8X3	Other otitis externa, bilateral		Other otitis externa, bilateral	Other otitis externa, bilateral
ICD10CM:M25.472	Effusion, left ankle		Effusion, left ankle	Effusion, left ankle
ICD10CM:L60.0	Ingrowing nail		Ingrowing nail	Ingrowing nail
ICD10CM:M79.672	Pain in left foot		Pain in left foot	Pain in left foot
ICD10CM:R29.2	Abnormal reflex		Abnormal reflex	Abnormal reflex
ICD10CM:H52.11	Myopia, right eye		Myopia, right eye	Myopia, right eye
ICD10CM:Z85.820	Personal history of malignant melanoma of skin		Conditions classifiable to C43	Conditions classifiable to C43, Personal history of malignant melanoma of skin
ICD10CM:J02.0	Streptococcal pharyngitis		Septic pharyngitis	Septic pharyngitis, Streptococcal pharyngitis, Streptococcal sore throat
ICD10CM:R39.14	Feeling of incomplete bladder emptying		Feeling of incomplete bladder emptying	Feeling of incomplete bladder emptying
ICD10CM:Q12.0	Congenital cataract		Congenital cataract	Congenital cataract
ICD10CM:Q21.1	Atrial septal defect		Atrial septal defect	Atrial septal defect, Coronary sinus defect, Patent or persistent foramen ovale, Patent or persistent ostium secundum defect (type II), Patent or persistent sinus venosus defect, patent or persistent ostium secundum defect
ICD10CM:F02.81	Dementia in other diseases classified elsewhere with behavioral disturbance		Dementia in other diseases classified elsewhere with aggressive behavior	Dementia in other diseases classified elsewhere with aggressive behavior, Dementia in other diseases classified elsewhere with behavioral disturbance, Dementia in other diseases classified elsewhere with combative behavior, Dementia in other diseases classified elsewhere with violent behavior, Major neurocognitive disorder in other diseases classified elsewhere with aggressive behavior, Major neurocognitive disorder in other diseases classified elsewhere with combative behavior, Major neurocognitive disorder in other diseases classified elsewhere with violent behavior
ICD10CM:R53.1	Weakness		Asthenia NOS	Asthenia NOS, Weakness
ICD10CM:K92.1	Melena		Melena	Melena
ICD10CM:R40.4	Transient alteration of awareness		Transient alteration of awareness	Transient alteration of awareness
ICD10CM:N39.42	Incontinence without sensory awareness		Incontinence without sensory awareness	Incontinence without sensory awareness, Insensible (urinary) incontinence
ICD10CM:K63.89	Other specified diseases of intestine		Other specified diseases of intestine	Other specified diseases of intestine
ICD10CM:Z30.017	Encounter for initial prescription of implantable subdermal contraceptive		Encounter for initial prescription of implantable subdermal contraceptive	Encounter for initial prescription of implantable subdermal contraceptive
ICD10CM:R89.5	Abnormal microbiological findings in specimens from other organs, systems and tissues		Abnormal microbiological findings in specimens from other organs, systems and tissues	Abnormal microbiological findings in specimens from other organs, systems and tissues, Positive culture findings in specimens from other organs, systems and tissues
ICD10CM:M25.662	Stiffness of left knee, not elsewhere classified		Stiffness of left knee, not elsewhere classified	Stiffness of left knee, not elsewhere classified
ICD10CM:Z03.89	Encounter for observation for other suspected diseases and conditions ruled out		Encounter for observation for other suspected diseases and conditions ruled out	Encounter for observation for other suspected diseases and conditions ruled out
ICD10CM:D48.5	Neoplasm of uncertain behavior of skin		Neoplasm of uncertain behavior of anal margin	Neoplasm of uncertain behavior of anal margin, Neoplasm of uncertain behavior of anal skin, Neoplasm of uncertain behavior of perianal skin, Neoplasm of uncertain behavior of skin, Neoplasm of uncertain behavior of skin of breast
ICD10CM:M25.572	Pain in left ankle and joints of left foot		Pain in left ankle and joints of left foot	Pain in left ankle and joints of left foot
ICD10CM:M25.50	Pain in unspecified joint		Pain in unspecified joint	Pain in unspecified joint
ICD10CM:F80.9	Developmental disorder of speech and language, unspecified		Communication disorder NOS	Communication disorder NOS, Developmental disorder of speech and language, unspecified, Language disorder NOS
ICD10CM:Z13.21	Encounter for screening for nutritional disorder		Encounter for screening for nutritional disorder	Encounter for screening for nutritional disorder
ICD10CM:H92.02	Otalgia, left ear		Otalgia, left ear	Otalgia, left ear
ICD10CM:H65.499	Other chronic nonsuppurative otitis media, unspecified ear		Other chronic nonsuppurative otitis media, unspecified ear	Other chronic nonsuppurative otitis media, unspecified ear
ICD10CM:W22.01XA	Walked into wall, initial encounter		Walked into wall, initial encounter	Walked into wall, initial encounter
ICD10CM:F90.9	Attention-deficit hyperactivity disorder, unspecified type		Attention-deficit hyperactivity disorder NOS	Attention-deficit hyperactivity disorder NOS, Attention-deficit hyperactivity disorder of childhood or adolescence NOS, Attention-deficit hyperactivity disorder, unspecified type
ICD10CM:Z11.4	Encounter for screening for human immunodeficiency virus [HIV]		Encounter for screening for human immunodeficiency virus [HIV]	Encounter for screening for human immunodeficiency virus [HIV], encounter for screening for human immunodeficiency virus
ICD10CM:R09.89	Other specified symptoms and signs involving the circulatory and respiratory systems		Abnormal chest percussion	Abnormal chest percussion, Bruit (arterial), Chest tympany, Choking sensation, Feeling of foreign body in throat, Friction sounds in chest, Other specified symptoms and signs involving the circulatory and respiratory systems, Rales, Weak pulse, bruit
ICD10CM:H04.123	Dry eye syndrome of bilateral lacrimal glands		Dry eye syndrome of bilateral lacrimal glands	Dry eye syndrome of bilateral lacrimal glands
ICD10CM:T81.49XA	Infection following a procedure, other surgical site, initial encounter		Infection following a procedure, other surgical site, initial encounter	Infection following a procedure, other surgical site, initial encounter
ICD10CM:L30.9	Dermatitis, unspecified		Dermatitis, unspecified	Dermatitis, unspecified, Eczema NOS
ICD10CM:J40	Bronchitis, not specified as acute or chronic		Bronchitis NOS	Bronchitis NOS, Bronchitis with tracheitis NOS, Bronchitis, not specified as acute or chronic, Catarrhal bronchitis, Tracheobronchitis NOS
ICD10CM:Z68.26	Body mass index [BMI] 26.0-26.9, adult		Body mass index [BMI] 26.0-26.9, adult	Body mass index [BMI] 26.0-26.9, adult
ICD10CM:H92.12	Otorrhea, left ear		Otorrhea, left ear	Otorrhea, left ear
ICD10CM:Z88.2	Allergy status to sulfonamides		Allergy status to sulfonamides	Allergy status to sulfonamides
ICD10CM:I96	Gangrene, not elsewhere classified		Gangrene, not elsewhere classified	Gangrene, not elsewhere classified, Gangrenous cellulitis
ICD10CM:H90.A32	Mixed conductive and sensorineural hearing loss, unilateral, left ear with restricted hearing on the contralateral side		Mixed conductive and sensorineural hearing loss, unilateral, left ear with restricted hearing on the contralateral side	Mixed conductive and sensorineural hearing loss, unilateral, left ear with restricted hearing on the contralateral side
ICD10CM:K58.8	Other irritable bowel syndrome		Other irritable bowel syndrome	Other irritable bowel syndrome
ICD10CM:L05.92	Pilonidal sinus without abscess		Coccygeal fistula	Coccygeal fistula, Coccygeal sinus without abscess, Pilonidal fistula, Pilonidal sinus without abscess
ICD10CM:R27.9	Unspecified lack of coordination		Unspecified lack of coordination	Unspecified lack of coordination
ICD10CM:N18.3	Chronic kidney disease, stage 3 (moderate)		Chronic kidney disease, stage 3 (moderate)	Chronic kidney disease, stage 3 (moderate), chronic kidney disease, stage 3
ICD10CM:Z88.1	Allergy status to other antibiotic agents		Allergy status to other antibiotic agents	Allergy status to other antibiotic agents
ICD10CM:M25.511	Pain in right shoulder		Pain in right shoulder	Pain in right shoulder
ICD10CM:L82.1	Other seborrheic keratosis		Other seborrheic keratosis	Other seborrheic keratosis, Seborrheic keratosis NOS
ICD10CM:Z83.49	Family history of other endocrine, nutritional and metabolic diseases		Family history of other endocrine, nutritional and metabolic diseases	Family history of other endocrine, nutritional and metabolic diseases
ICD10CM:Z98.84	Bariatric surgery status		Bariatric surgery status	Bariatric surgery status, Gastric banding status, Gastric bypass status for obesity, Obesity surgery status
ICD10CM:Z96.0	Presence of urogenital implants		Presence of urogenital implants	Presence of urogenital implants
ICD10CM:H90.12	Conductive hearing loss, unilateral, left ear, with unrestricted hearing on the contralateral side		Conductive hearing loss, unilateral, left ear, with unrestricted hearing on the contralateral side	Conductive hearing loss, unilateral, left ear, with unrestricted hearing on the contralateral side
ICD10CM:Z09	Encounter for follow-up examination after completed treatment for conditions other than malignant neoplasm		Encounter for follow-up examination after completed treatment for conditions other than malignant neoplasm	Encounter for follow-up examination after completed treatment for conditions other than malignant neoplasm, Medical surveillance following completed treatment
ICD10CM:R26.89	Other abnormalities of gait and mobility		Other abnormalities of gait and mobility	Other abnormalities of gait and mobility
ICD10CM:M1A.4710	Other secondary chronic gout, right ankle and foot, without tophus (tophi)		Other secondary chronic gout, right ankle and foot, without tophus (tophi)	Other secondary chronic gout, right ankle and foot, without tophus (tophi), other secondary chronic gout, right ankle and foot, without tophus
ICD10CM:K91.2	Postsurgical malabsorption, not elsewhere classified		Postsurgical blind loop syndrome	Postsurgical blind loop syndrome, Postsurgical malabsorption, not elsewhere classified
ICD10CM:S92.902D	Unspecified fracture of left foot, subsequent encounter for fracture with routine healing		Unspecified fracture of left foot, subsequent encounter for fracture with routine healing	Unspecified fracture of left foot, subsequent encounter for fracture with routine healing
ICD10CM:Z45.2	Encounter for adjustment and management of vascular access device		Encounter for adjustment and management of vascular access device	Encounter for adjustment and management of vascular access device, Encounter for adjustment and management of vascular catheters
ICD10CM:Z86.39	Personal history of other endocrine, nutritional and metabolic disease		Personal history of other endocrine, nutritional and metabolic disease	Personal history of other endocrine, nutritional and metabolic disease
ICD10CM:N40.0	Benign prostatic hyperplasia without lower urinary tract symptoms		Benign prostatic hyperplasia without lower urinary tract symptoms	Benign prostatic hyperplasia without lower urinary tract symptoms, Enlarged prostate NOS, Enlarged prostate without LUTS
ICD10CM:L73.8	Other specified follicular disorders		Other specified follicular disorders	Other specified follicular disorders, Sycosis barbae
ICD10CM:M79.2	Neuralgia and neuritis, unspecified		Neuralgia and neuritis, unspecified	Neuralgia and neuritis, unspecified
ICD10CM:M50.321	Other cervical disc degeneration at C4-C5 level		Other C4-C5 cervical disc degeneration	Other C4-C5 cervical disc degeneration, Other cervical disc degeneration at C4-C5 level
ICD10CM:H52.213	Irregular astigmatism, bilateral		Irregular astigmatism, bilateral	Irregular astigmatism, bilateral
ICD10CM:B34.8	Other viral infections of unspecified site		Other viral infections of unspecified site	Other viral infections of unspecified site
ICD10CM:B07.8	Other viral warts		Common wart	Common wart, Flat wart, Other viral warts, Verruca plana
ICD10CM:Z68.31	Body mass index [BMI] 31.0-31.9, adult		Body mass index [BMI] 31.0-31.9, adult	Body mass index [BMI] 31.0-31.9, adult
ICD10CM:Q90.0	Trisomy 21, nonmosaicism (meiotic nondisjunction)		Trisomy 21, nonmosaicism (meiotic nondisjunction)	Trisomy 21, nonmosaicism (meiotic nondisjunction), trisomy 21, nonmosaicism
ICD10CM:T81.32XA	Disruption of internal operation (surgical) wound, not elsewhere classified, initial encounter		Disruption of internal operation (surgical) wound, not elsewhere classified, initial encounter	Disruption of internal operation (surgical) wound, not elsewhere classified, initial encounter
ICD10CM:K02.9	Dental caries, unspecified		Dental caries, unspecified	Dental caries, unspecified
ICD10CM:Z01.89	Encounter for other specified special examinations		Encounter for other specified special examinations	Encounter for other specified special examinations
ICD10CM:Z68.29	Body mass index [BMI] 29.0-29.9, adult		Body mass index [BMI] 29.0-29.9, adult	Body mass index [BMI] 29.0-29.9, adult
ICD10CM:B96.89	Other specified bacterial agents as the cause of diseases classified elsewhere		Other specified bacterial agents as the cause of diseases classified elsewhere	Other specified bacterial agents as the cause of diseases classified elsewhere
ICD10CM:D22.9	Melanocytic nevi, unspecified		Melanocytic nevi, unspecified	Melanocytic nevi, unspecified
ICD10CM:M48.02	Spinal stenosis, cervical region		Spinal stenosis, cervical region	Spinal stenosis, cervical region
ICD10CM:Z30.430	Encounter for insertion of intrauterine contraceptive device		Encounter for insertion of intrauterine contraceptive device	Encounter for insertion of intrauterine contraceptive device
ICD10CM:L24.89	Irritant contact dermatitis due to other agents		Irritant contact dermatitis due to dyes	Irritant contact dermatitis due to dyes, Irritant contact dermatitis due to other agents
ICD10CM:Z87.42	Personal history of other diseases of the female genital tract		Personal history of other diseases of the female genital tract	Personal history of other diseases of the female genital tract
ICD10CM:Z88.0	Allergy status to penicillin		Allergy status to penicillin	Allergy status to penicillin
ICD10CM:S82.402A	Unspecified fracture of shaft of left fibula, initial encounter for closed fracture		Unspecified fracture of shaft of left fibula, initial encounter for closed fracture	Unspecified fracture of shaft of left fibula, initial encounter for closed fracture
ICD10CM:Z71.82	Exercise counseling		Exercise counseling	Exercise counseling
ICD10CM:F17.220	Nicotine dependence, chewing tobacco, uncomplicated		Nicotine dependence, chewing tobacco, uncomplicated	Nicotine dependence, chewing tobacco, uncomplicated
ICD10CM:S82.392A	Other fracture of lower end of left tibia, initial encounter for closed fracture		Other fracture of lower end of left tibia, initial encounter for closed fracture	Other fracture of lower end of left tibia, initial encounter for closed fracture
ICD10CM:M79.671	Pain in right foot		Pain in right foot	Pain in right foot
ICD10CM:M54.5	Low back pain		Low back pain	Low back pain
ICD10CM:R06.02	Shortness of breath		Shortness of breath	Shortness of breath
ICD10CM:G47.36	Sleep related hypoventilation in conditions classified elsewhere		Sleep related hypoventilation in conditions classified elsewhere	Sleep related hypoventilation in conditions classified elsewhere, Sleep related hypoxemia in conditions classified elsewhere
ICD10CM:R39.89	Other symptoms and signs involving the genitourinary system		Other symptoms and signs involving the genitourinary system	Other symptoms and signs involving the genitourinary system
ICD10CM:L03.011	Cellulitis of right finger		Cellulitis of right finger	Cellulitis of right finger
ICD10CM:G47.34	Idiopathic sleep related nonobstructive alveolar hypoventilation		Idiopathic sleep related nonobstructive alveolar hypoventilation	Idiopathic sleep related nonobstructive alveolar hypoventilation, Sleep related hypoxia
ICD10CM:Z68.32	Body mass index [BMI] 32.0-32.9, adult		Body mass index [BMI] 32.0-32.9, adult	Body mass index [BMI] 32.0-32.9, adult
ICD10CM:Z11.59	Encounter for screening for other viral diseases		Encounter for screening for other viral diseases	Encounter for screening for other viral diseases
ICD10CM:Q55.0	Absence and aplasia of testis		Absence and aplasia of testis	Absence and aplasia of testis, Monorchism
ICD10CM:Z11.1	Encounter for screening for respiratory tuberculosis		Encounter for screening for active tuberculosis disease	Encounter for screening for active tuberculosis disease, Encounter for screening for respiratory tuberculosis
ICD10CM:R10.13	Epigastric pain		Dyspepsia	Dyspepsia, Epigastric pain
ICD10CM:H61.22	Impacted cerumen, left ear		Impacted cerumen, left ear	Impacted cerumen, left ear
ICD10CM:K63.9	Disease of intestine, unspecified		Disease of intestine, unspecified	Disease of intestine, unspecified
ICD10CM:R26.2	Difficulty in walking, not elsewhere classified		Difficulty in walking, not elsewhere classified	Difficulty in walking, not elsewhere classified
ICD10CM:N92.6	Irregular menstruation, unspecified		Irregular bleeding NOS	Irregular bleeding NOS, Irregular menstruation, unspecified, Irregular periods NOS
ICD10CM:R16.0	Hepatomegaly, not elsewhere classified		Hepatomegaly NOS	Hepatomegaly NOS, Hepatomegaly, not elsewhere classified
